community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
虹中路2弄小区,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
万科海上传奇(一二期),,,,南,简单装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
虹浦新城(南区),,,,南北,毛坯,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
沉香苑一街坊,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
虹梅别墅,,,,南,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
凯旋汇,,,,南北,豪华装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
长达佳苑(公寓住宅),,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
上虹新村七八九街坊,,,,南,简单装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
绿洲康城亲水湾(中区),,,,南,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
汇颂南苑,,,,南北,简单装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
永泰花苑,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
中企云启春申,,,,南,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
景舒苑八村,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
上虹新村七八九街坊,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
永泰花苑,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
潼港东八村,,,,南,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
海洲桃花园,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
上虹新村七八九街坊,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
高行绿洲六期,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
招商臻境,,,,南,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
吴中路1001弄小区,,,,南,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
高行绿洲六期,,,,南,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
长泰公馆,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
吴中路1001弄小区,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
永泰花苑,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
世博家园十四街坊,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
四季都会·青藤里,,,,南,毛坯,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
虹梅别墅,,,,南,简单装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
闵浦新苑四村,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
金地未未来,,,,南北,精装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
滨浦新苑七村,,,,南北,简单装修,,,,anjuke_ingested_20260526_190240.csv,anjuke_kaggle
