community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
虹中路2弄小区,闵行,17.7,中层(共11层),南北,精装修,2018,50.0,28249,house_price_raw.csv,anjuke_kaggle
万科海上传奇(一二期),浦东,97.48,低层(共22层),南,简单装修,2014,910.0,93353,house_price_raw.csv,anjuke_kaggle
虹浦新城(南区),闵行,93.38,高层(共11层),南北,毛坯,2007,355.0,38017,house_price_raw.csv,anjuke_kaggle
沉香苑一街坊,浦东,90.25,中层(共11层),南北,精装修,2013,286.0,31690,house_price_raw.csv,anjuke_kaggle
虹梅别墅,闵行,300.0,共2层,南,精装修,2010,4100.0,136667,house_price_raw.csv,anjuke_kaggle
凯旋汇,浦东,116.0,高层(共12层),南北,豪华装修,2020,348.0,30000,house_price_raw.csv,anjuke_kaggle
长达佳苑(公寓住宅),浦东,121.42,中层(共6层),南北,精装修,2005,305.0,25120,house_price_raw.csv,anjuke_kaggle
上虹新村七八九街坊,闵行,88.32,低层(共6层),南,简单装修,2002,618.0,69973,house_price_raw.csv,anjuke_kaggle
绿洲康城亲水湾(中区),浦东,74.41,高层(共20层),南,精装修,2012,428.0,57520,house_price_raw.csv,anjuke_kaggle
汇颂南苑,闵行,75.65,中层(共11层),南北,简单装修,2008,223.0,29478,house_price_raw.csv,anjuke_kaggle
凯旋汇,浦东,277.0,中层(共25层),南北,精装修,2010,500.0,18051,house_price_raw.csv,anjuke_kaggle
永泰花苑,浦东,83.39,低层(共18层),南北,精装修,2006,508.0,60919,house_price_raw.csv,anjuke_kaggle
中企云启春申,闵行,96.0,,南,精装修,,760.0,79167,house_price_raw.csv,anjuke_kaggle
景舒苑八村,闵行,112.01,低层(共6层),南北,精装修,2006,355.0,31694,house_price_raw.csv,anjuke_kaggle
上虹新村七八九街坊,闵行,71.0,中层(共6层),南北,精装修,2003,410.0,57747,house_price_raw.csv,anjuke_kaggle
凯旋汇,浦东,160.0,中层(共25层),南北,精装修,2010,350.0,21875,house_price_raw.csv,anjuke_kaggle
永泰花苑,浦东,84.9,中层(共11层),南北,精装修,2006,380.0,44759,house_price_raw.csv,anjuke_kaggle
潼港东八村,浦东,66.0,低层(共6层),南,精装修,1995,245.0,37122,house_price_raw.csv,anjuke_kaggle
海洲桃花园,浦东,81.0,低层(共11层),南北,精装修,2004,240.0,29630,house_price_raw.csv,anjuke_kaggle
上虹新村七八九街坊,闵行,57.5,中层(共6层),南北,精装修,2003,318.0,55305,house_price_raw.csv,anjuke_kaggle
高行绿洲六期,浦东,93.62,高层(共14层),南北,精装修,2010,424.0,45290,house_price_raw.csv,anjuke_kaggle
招商臻境,浦东,89.0,,南,精装修,,450.0,50562,house_price_raw.csv,anjuke_kaggle
吴中路1001弄小区,闵行,64.58,高层(共6层),南,精装修,1993,310.0,48003,house_price_raw.csv,anjuke_kaggle
高行绿洲六期,浦东,74.0,中层(共14层),南,精装修,2011,299.0,40406,house_price_raw.csv,anjuke_kaggle
长泰公馆,浦东,86.14,中层(共21层),南北,精装修,2015,299.0,34711,house_price_raw.csv,anjuke_kaggle
