community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
永康城浦欣苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长达佳苑(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
良友大厦,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金色雅筑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
滴水湖馨苑(公寓住宅),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
红梅苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
金沁苑(南区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹梅别墅,,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿地临港家园海洋小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
滨浦新苑七村,,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
长达佳苑(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
宜浩佳园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
民乐苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
滴水湖馨苑(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
潼港西八村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿地东岸涟城(北区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿洲康城亲水湾(中区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
高盛家园,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(一二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
中国铁建万科朗拾花语,,,,,精装修,,,,dataset.csv,anjuke_kaggle
锦绣华都,,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿地东岸涟城(南区公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
锦绣华都,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹梅别墅,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金沁苑(南区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
