community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
虹中路2弄小区,,,,南北,精装修,,,28249.0,house_price_raw.csv,anjuke_kaggle
万科海上传奇(一二期),,,,南,简单装修,,,93353.0,house_price_raw.csv,anjuke_kaggle
虹浦新城(南区),,,,南北,毛坯,,,38017.0,house_price_raw.csv,anjuke_kaggle
沉香苑一街坊,,,,南北,精装修,,,31690.0,house_price_raw.csv,anjuke_kaggle
虹梅别墅,,,,南,精装修,,,136667.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,豪华装修,,,30000.0,house_price_raw.csv,anjuke_kaggle
长达佳苑(公寓住宅),,,,南北,精装修,,,25120.0,house_price_raw.csv,anjuke_kaggle
上虹新村七八九街坊,,,,南,简单装修,,,69973.0,house_price_raw.csv,anjuke_kaggle
绿洲康城亲水湾(中区),,,,南,精装修,,,57520.0,house_price_raw.csv,anjuke_kaggle
汇颂南苑,,,,南北,简单装修,,,29478.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,18051.0,house_price_raw.csv,anjuke_kaggle
永泰花苑,,,,南北,精装修,,,60919.0,house_price_raw.csv,anjuke_kaggle
中企云启春申,,,,南,精装修,,,79167.0,house_price_raw.csv,anjuke_kaggle
景舒苑八村,,,,南北,精装修,,,31694.0,house_price_raw.csv,anjuke_kaggle
上虹新村七八九街坊,,,,南北,精装修,,,57747.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,21875.0,house_price_raw.csv,anjuke_kaggle
永泰花苑,,,,南北,精装修,,,44759.0,house_price_raw.csv,anjuke_kaggle
潼港东八村,,,,南,精装修,,,37122.0,house_price_raw.csv,anjuke_kaggle
海洲桃花园,,,,南北,精装修,,,29630.0,house_price_raw.csv,anjuke_kaggle
上虹新村七八九街坊,,,,南北,精装修,,,55305.0,house_price_raw.csv,anjuke_kaggle
高行绿洲六期,,,,南北,精装修,,,45290.0,house_price_raw.csv,anjuke_kaggle
招商臻境,,,,南,精装修,,,50562.0,house_price_raw.csv,anjuke_kaggle
吴中路1001弄小区,,,,南,精装修,,,48003.0,house_price_raw.csv,anjuke_kaggle
高行绿洲六期,,,,南,精装修,,,40406.0,house_price_raw.csv,anjuke_kaggle
长泰公馆,,,,南北,精装修,,,34711.0,house_price_raw.csv,anjuke_kaggle
吴中路1001弄小区,,,,南北,精装修,,,46678.0,house_price_raw.csv,anjuke_kaggle
永泰花苑,,,,南北,精装修,,,46515.0,house_price_raw.csv,anjuke_kaggle
世博家园十四街坊,,,,南北,精装修,,,43308.0,house_price_raw.csv,anjuke_kaggle
四季都会·青藤里,,,,南,毛坯,,,44060.0,house_price_raw.csv,anjuke_kaggle
虹梅别墅,,,,南,简单装修,,,114000.0,house_price_raw.csv,anjuke_kaggle
闵浦新苑四村,,,,南北,精装修,,,32325.0,house_price_raw.csv,anjuke_kaggle
金地未未来,,,,南北,精装修,,,76652.0,house_price_raw.csv,anjuke_kaggle
滨浦新苑七村,,,,南北,简单装修,,,35642.0,house_price_raw.csv,anjuke_kaggle
尼德兰花园(二期),,,,南,精装修,,,56774.0,house_price_raw.csv,anjuke_kaggle
金光小区,,,,南,精装修,,,60553.0,house_price_raw.csv,anjuke_kaggle
学前街88弄小区,,,,南北,精装修,,,45455.0,house_price_raw.csv,anjuke_kaggle
金地未未来,,,,南,精装修,,,100413.0,house_price_raw.csv,anjuke_kaggle
凌兆十一村,,,,南,精装修,,,46593.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,28449.0,house_price_raw.csv,anjuke_kaggle
金地艺华年(公寓住宅),,,,南,精装修,,,36884.0,house_price_raw.csv,anjuke_kaggle
鹤沙航城东茗苑(东区),,,,南北,简单装修,,,29849.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,31583.0,house_price_raw.csv,anjuke_kaggle
鹤沙航城昱星家园(东区),,,,南北,精装修,,,28326.0,house_price_raw.csv,anjuke_kaggle
浦江瑞和城玖街区,,,,南北,毛坯,,,27444.0,house_price_raw.csv,anjuke_kaggle
浦凌佳苑,,,,南北,精装修,,,31527.0,house_price_raw.csv,anjuke_kaggle
沉香苑一街坊,,,,南,精装修,,,31579.0,house_price_raw.csv,anjuke_kaggle
浦江瑞和城玖街区,,,,南北,毛坯,,,26234.0,house_price_raw.csv,anjuke_kaggle
高行绿洲五期,,,,南北,精装修,,,43684.0,house_price_raw.csv,anjuke_kaggle
三林安居苑,,,,南北,精装修,,,46949.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南,精装修,,,20243.0,house_price_raw.csv,anjuke_kaggle
绿地临港家园海洋小区,,,,南北,精装修,,,18997.0,house_price_raw.csv,anjuke_kaggle
虹中路2弄小区,,,,南北,精装修,,,28312.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,29295.0,house_price_raw.csv,anjuke_kaggle
三林苑,,,,南北,精装修,,,45711.0,house_price_raw.csv,anjuke_kaggle
高行绿洲五期,,,,南,精装修,,,43898.0,house_price_raw.csv,anjuke_kaggle
金地未未来,,,,南北,精装修,,,94835.0,house_price_raw.csv,anjuke_kaggle
湾流域城(一期),,,,南北,精装修,,,117139.0,house_price_raw.csv,anjuke_kaggle
梅园三街坊,,,,南北,精装修,,,115741.0,house_price_raw.csv,anjuke_kaggle
绿地东岸涟城(北区),,,,南北,精装修,,,19432.0,house_price_raw.csv,anjuke_kaggle
锦绣华都,,,,南北,精装修,,,67185.0,house_price_raw.csv,anjuke_kaggle
景江苑A区,,,,南,精装修,,,39788.0,house_price_raw.csv,anjuke_kaggle
源城锦翠苑,,,,南北,简单装修,,,60837.0,house_price_raw.csv,anjuke_kaggle
梅园三街坊,,,,南,精装修,,,91451.0,house_price_raw.csv,anjuke_kaggle
高行绿洲六期,,,,南北,精装修,,,45000.0,house_price_raw.csv,anjuke_kaggle
虹中路2弄小区,,,,南北,精装修,,,27200.0,house_price_raw.csv,anjuke_kaggle
长泰公馆,,,,南,精装修,,,31977.0,house_price_raw.csv,anjuke_kaggle
宜浩佳园,,,,南北,精装修,,,18727.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,精装修,,,33174.0,house_price_raw.csv,anjuke_kaggle
鹤沙航城汇贤雅苑,,,,南,精装修,,,26963.0,house_price_raw.csv,anjuke_kaggle
中铁诺德·璟宸,,,,南,精装修,,,30853.0,house_price_raw.csv,anjuke_kaggle
虹中路2弄小区,,,,南北,精装修,,,26667.0,house_price_raw.csv,anjuke_kaggle
金纬苑,,,,南北,精装修,,,43265.0,house_price_raw.csv,anjuke_kaggle
滴水湖馨苑(公寓住宅),,,,南北,毛坯,,,33941.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南,精装修,,,32500.0,house_price_raw.csv,anjuke_kaggle
虹中路2弄小区,,,,南北,精装修,,,28096.0,house_price_raw.csv,anjuke_kaggle
和祥佳园,,,,南北,毛坯,,,33593.0,house_price_raw.csv,anjuke_kaggle
明纶园,,,,南,简单装修,,,42838.0,house_price_raw.csv,anjuke_kaggle
滴水湖馨苑(公寓住宅),,,,南北,精装修,,,38713.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南,精装修,,,34102.0,house_price_raw.csv,anjuke_kaggle
锦绣华都,,,,南北,精装修,,,64109.0,house_price_raw.csv,anjuke_kaggle
宜浩佳园,,,,南北,精装修,,,23028.0,house_price_raw.csv,anjuke_kaggle
海洲桃花园,,,,南,简单装修,,,30553.0,house_price_raw.csv,anjuke_kaggle
永泰花苑,,,,南,精装修,,,60981.0,house_price_raw.csv,anjuke_kaggle
虹中路2弄小区,,,,南北,精装修,,,30304.0,house_price_raw.csv,anjuke_kaggle
永康城浦欣苑,,,,南,精装修,,,25730.0,house_price_raw.csv,anjuke_kaggle
长达佳苑(公寓住宅),,,,南北,精装修,,,25178.0,house_price_raw.csv,anjuke_kaggle
良友大厦,,,,南北,精装修,,,50881.0,house_price_raw.csv,anjuke_kaggle
万科金色雅筑,,,,南,简单装修,,,78392.0,house_price_raw.csv,anjuke_kaggle
虹中路2弄小区,,,,南北,精装修,,,26667.0,house_price_raw.csv,anjuke_kaggle
滴水湖馨苑(公寓住宅),,,,南北,简单装修,,,28952.0,house_price_raw.csv,anjuke_kaggle
凯旋汇,,,,南北,豪华装修,,,29915.0,house_price_raw.csv,anjuke_kaggle
